ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species	Kingdom (BS)	Phylum (BS)	Class (BS)	Order (BS)	Family (BS)	Genus (BS)	Species (BS)
Seq_3971	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	junii	100	100	100	100	100	100	59
Seq_3972	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium	NA	100	100	100	100	100	100	91
Seq_3973	Bacteria	NA	NA	NA	NA	NA	NA	99	24	22	9	2	2	2
Seq_3974	Bacteria	Actinobacteriota	Actinobacteria	Kineosporiales	Kineosporiaceae	Kineosporia	NA	100	100	100	99	99	51	48
Seq_3975	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Geodermatophilus	NA	100	100	100	100	100	96	64
Seq_3976	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group	NA	NA	100	100	100	100	100	100	100
Seq_3977	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Roseisolibacter	NA	100	100	100	100	100	95	95
Seq_3978	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	bennonis	100	100	100	100	100	100	100
Seq_3979	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	NA	100	100	100	100	53	53	39
Seq_3980	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	100	100	100	100	100	100	28
Seq_3981	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	NA	NA	NA	100	99	99	99	75	75	75
Seq_3982	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus	NA	100	100	100	100	100	100	100
Seq_3983	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	bacteriovorus	100	100	100	100	100	100	73
Seq_3984	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Coleofasciculaceae	Symplocastrum CPER-KK1	NA	100	100	100	100	100	98	80
Seq_3985	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	NA	100	100	100	100	100	100	48
Seq_3986	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Blastocatella	NA	100	100	100	100	100	100	100
Seq_3987	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	perflava	100	100	100	100	100	100	66
Seq_3988	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group	NA	100	100	100	100	100	78	78
Seq_3989	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	100	90	90	26	26	25	25
Seq_3990	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Anoxybacillus	NA	100	100	100	100	99	77	29
Seq_3991	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	NA	NA	NA	100	100	100	100	96	96	96
Seq_3992	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	100	99	99	41	41	39	39
Seq_3993	Bacteria	NA	NA	NA	NA	NA	NA	99	29	29	29	24	24	24
Seq_3994	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	NA	NA	NA	100	100	100	97	95	95	95
Seq_3995	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Spirosoma	NA	100	100	100	100	100	99	81
Seq_3996	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	vesicularis	100	100	100	100	100	100	85
Seq_3997	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	NA	NA	NA	100	62	54	54	54	54	54
Seq_3998	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium	NA	100	100	100	100	100	97	74
Seq_3999	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	NA	NA	99	84	83	82	82	44	44
Seq_4000	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	kaistensis	100	100	100	100	100	100	64
Seq_4001	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter	NA	100	100	100	100	100	100	32
Seq_4002	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	NA	NA	100	100	100	100	100	41	38
Seq_4003	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Terrimonas	NA	100	100	100	100	100	100	100
Seq_4004	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA	100	99	99	99	99	99	99
Seq_4005	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	NA	NA	100	100	100	100	100	91	91
Seq_4006	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	NA	NA	100	100	100	100	100	100	100
Seq_4007	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	NA	NA	NA	100	100	100	100	85	85	85
Seq_4008	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	haemolyticus	100	100	100	100	100	100	53
Seq_4009	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	NA	NA	100	100	100	100	100	49	41
Seq_4010	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Marmoricola	NA	100	100	100	100	100	99	72
Seq_4011	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Roseisolibacter	NA	100	100	100	100	100	92	92
Seq_4012	Bacteria	Actinobacteriota	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	NA	100	100	100	100	100	100	100
Seq_4013	Bacteria	Cyanobacteria	Sericytochromatia	NA	NA	NA	NA	100	91	90	90	90	90	90
Seq_4014	Bacteria	Gemmatimonadota	NA	NA	NA	NA	NA	100	50	29	29	29	15	13
Seq_4015	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	NA	100	100	100	100	100	92	92
Seq_4016	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Tetragenococcus	osmophilus	100	100	100	100	92	90	52
Seq_4017	Bacteria	Actinobacteriota	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	NA	100	100	99	99	99	99	99
Seq_4018	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Phormidiaceae	Tychonema CCAP 1459-11B	NA	100	100	100	100	100	100	99
Seq_4019	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Segetibacter	NA	100	100	100	100	100	100	100
Seq_4020	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	NA	NA	100	100	100	95	94	90	90
Seq_4021	Archaea	Halobacterota	Halobacteria	Halobacterales	Haloferacaceae	Halonotius	NA	100	100	100	100	100	100	100
Seq_4022	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Segetibacter	NA	100	100	100	100	100	100	98
Seq_4023	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus	NA	100	100	100	100	100	100	98
Seq_4024	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA	100	100	100	100	100	100	100
Seq_4025	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Cryobacterium	NA	100	100	100	100	100	92	83
Seq_4026	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Rufibacter	NA	100	100	100	100	100	100	100
Seq_4027	Bacteria	Cyanobacteria	Cyanobacteriia	Oxyphotobacteria Incertae Sedis	Unknown Family	Leptolyngbya EcFYyyy-00	NA	100	100	100	100	100	100	97
Seq_4028	Bacteria	Actinobacteriota	Actinobacteria	Kineosporiales	Kineosporiaceae	Quadrisphaera	NA	100	100	100	97	97	96	47
Seq_4029	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	NA	100	100	100	100	100	94	17
Seq_4030	Bacteria	Actinobacteriota	Actinobacteria	Kineosporiales	Kineosporiaceae	NA	NA	100	100	100	100	100	92	92
Seq_4031	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Tundrisphaera	NA	100	100	100	100	100	72	72
Seq_4032	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Marmoricola	NA	100	100	100	100	100	99	99
Seq_4033	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cytophagaceae	Rhodocytophaga	NA	100	100	100	100	100	99	99
Seq_4034	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	enterica	100	100	100	100	100	100	100
Seq_4035	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	NA	NA	NA	100	100	100	76	22	12	12
Seq_4036	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	timonensis	100	100	100	100	97	88	67
Seq_4037	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA	100	100	100	100	100	100	41
Seq_4038	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	urinaeequi	100	100	100	100	100	100	86
Seq_4039	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Modestobacter	NA	100	100	100	100	100	97	70
Seq_4040	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Anoxybacillus	NA	100	100	100	100	99	88	50
Seq_4041	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	85	63	63	63	63	63
Seq_4042	Bacteria	Firmicutes	Bacilli	Thermicanales	Thermicanaceae	Thermicanus	NA	100	100	100	100	100	100	87
Seq_4043	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA	100	100	100	100	100	99	53
Seq_4044	Bacteria	Armatimonadota	Armatimonadia	Armatimonadales	NA	NA	NA	100	100	100	100	100	100	100
Seq_4045	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	aquatica	100	90	81	81	81	81	81
Seq_4046	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga	NA	100	100	100	100	100	98	46
Seq_4047	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Phormidiaceae	NA	NA	100	100	100	100	85	84	84
Seq_4048	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	NA	100	100	100	100	96	91	7
Seq_4049	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Anoxybacillus	NA	100	100	100	100	98	90	55
Seq_4050	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	100	100	100	100	100	100	48
Seq_4051	Bacteria	NA	NA	NA	NA	NA	NA	100	48	48	48	35	35	32
Seq_4052	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas	NA	100	100	100	100	100	100	80
Seq_4053	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	marcusii	100	100	100	100	100	77	66
Seq_4054	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	mucilaginosa	100	100	100	100	99	98	87
Seq_4055	Bacteria	Gemmatimonadota	Longimicrobia	Longimicrobiales	Longimicrobiaceae	NA	NA	100	98	98	98	98	86	86
Seq_4056	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	NA	100	100	100	100	92	82	50
Seq_4057	Bacteria	Cyanobacteria	Cyanobacteriia	Oxyphotobacteria Incertae Sedis	Unknown Family	Leptolyngbya EcFYyyy-00	NA	100	100	100	100	100	100	97
Seq_4058	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	aquatica	100	100	100	100	100	86	80
Seq_4059	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Ellin6055	NA	100	100	100	100	100	70	70
Seq_4060	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	NA	100	100	100	100	100	100	48
Seq_4061	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	azotifigens	100	100	100	100	100	100	83
Seq_4062	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	NA	NA	NA	100	100	100	99	81	81	81
Seq_4063	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	NA	100	100	100	99	95	93	93
Seq_4064	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	NA	100	100	100	100	99	99	35
Seq_4065	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	equorum	100	100	100	99	99	99	62
Seq_4066	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	NA	NA	100	100	100	100	100	44	44
Seq_4067	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	100	100	100	100	100	100	30
Seq_4068	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Modestobacter	NA	100	100	100	100	100	98	79
Seq_4069	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Oxalicibacterium	NA	100	100	100	100	98	75	75
Seq_4070	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	NA	100	100	100	100	100	53	28
Seq_4071	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Sporomusaceae	Thermosinus	carboxydivorans	100	100	100	100	100	100	100
Seq_4072	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	AKYG1722	NA	NA	100	97	96	96	90	90	90
Seq_4073	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	NA	NA	100	100	100	100	100	71	71
Seq_4074	Bacteria	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	NA	100	100	100	100	100	100	48
Seq_4075	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group	NA	NA	100	100	100	99	96	96	96
Seq_4076	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	hgcI clade	NA	100	100	100	100	100	100	100
Seq_4077	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	100	100	100	100	100	99	27
Seq_4078	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	100	100	100	100	100	100	17
Seq_4079	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	azotifigens	100	100	100	100	100	100	69
Seq_4080	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	100	100	100	99	99	99	28
Seq_4081	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Thermomonas	NA	100	100	100	100	100	100	41
Seq_4082	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cytophagaceae	Sporocytophaga	NA	100	100	100	100	82	82	81
Seq_4083	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Cellulomonadaceae	NA	NA	100	100	100	100	86	38	38
Seq_4084	Bacteria	Armatimonadota	NA	NA	NA	NA	NA	100	95	95	95	95	95	95
Seq_4085	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	NA	NA	100	99	99	99	99	99	99
Seq_4086	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	NA	100	100	100	100	100	96	74
Seq_4087	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	NA	100	100	100	100	100	100	100
Seq_4088	Bacteria	Actinobacteriota	Actinobacteria	Euzebyales	Euzebyaceae	NA	NA	100	100	100	100	100	100	100
Seq_4089	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter	NA	100	100	100	100	100	100	78
Seq_4090	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	NA	100	100	100	100	99	88	88
Seq_4091	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	johnsonii	100	100	100	100	100	100	61
Seq_4092	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Dechlorosoma	NA	100	100	100	100	100	90	90
Seq_4093	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	thermoaerophilus	100	100	99	98	98	96	83
Seq_4094	Bacteria	Cyanobacteria	Cyanobacteriia	Oxyphotobacteria Incertae Sedis	Unknown Family	Leptolyngbya EcFYyyy-00	NA	100	100	100	100	100	100	100
Seq_4095	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	NA	100	100	100	99	99	99	90
Seq_4096	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Pontibacter	populi	100	100	100	100	100	100	96
Seq_4097	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	NA	100	100	100	100	100	97	95
Seq_4098	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Roseisolibacter	NA	100	100	100	100	100	100	100
Seq_4099	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	NA	NA	NA	100	100	100	100	99	99	99
Seq_4100	Bacteria	Firmicutes	Clostridia	Clostridia vadinBB60 group	NA	NA	NA	100	98	94	86	86	86	86
Seq_4101	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	Chroococcidiopsis SAG 2023	NA	100	100	100	100	100	97	97
Seq_4102	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Phormidiaceae	Tychonema CCAP 1459-11B	NA	100	100	100	100	100	100	100
Seq_4103	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia-Shigella	NA	100	100	100	100	96	68	8
Seq_4104	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sutterellaceae	NA	NA	100	100	100	100	100	100	100
Seq_4105	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga	NA	100	100	100	100	100	99	29
Seq_4106	Bacteria	Gemmatimonadota	Longimicrobia	Longimicrobiales	Longimicrobiaceae	NA	NA	100	100	100	100	100	89	89
Seq_4107	Bacteria	Gemmatimonadota	Longimicrobia	Longimicrobiales	Longimicrobiaceae	NA	NA	100	100	100	100	100	88	88
Seq_4108	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Parviterribacter	multiflagellatus	100	100	100	100	100	74	54
Seq_4109	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	NA	NA	100	100	100	100	100	98	98
Seq_4110	Bacteria	NA	NA	NA	NA	NA	NA	98	23	23	23	13	13	12
Seq_4111	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	GTL1	NA	100	100	100	100	60	59	59
Seq_4112	Bacteria	Patescibacteria	Parcubacteria	Candidatus Nomurabacteria	NA	NA	NA	100	100	100	54	54	54	54
Seq_4113	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	NA	NA	100	100	100	99	99	36	36
Seq_4114	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	osloensis	100	100	100	100	100	70	70
Seq_4115	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Craurococcus-Caldovatus	NA	100	100	100	100	100	100	100
Seq_4116	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	NA	100	100	100	100	100	100	34
Seq_4117	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Oceanobacillus	picturae	100	100	100	100	100	100	60
Seq_4118	Bacteria	Firmicutes	Bacilli	Thermicanales	Thermicanaceae	Thermicanus	NA	100	100	100	100	100	100	63
Seq_4119	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	1174-901-12	NA	100	100	100	100	99	99	99
Seq_4120	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Catenibacterium	NA	100	100	100	100	100	100	68
Seq_4121	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Noviherbaspirillum	NA	100	100	100	100	99	66	66
Seq_4122	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	NA	NA	100	100	100	100	100	100	100
Seq_4123	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	NA	100	100	100	100	100	98	98
Seq_4124	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	NA	NA	100	100	100	100	100	100	100
Seq_4125	Bacteria	Actinobacteriota	Acidimicrobiia	NA	NA	NA	NA	100	100	85	43	43	43	43
Seq_4126	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Skermanella	NA	100	100	100	100	100	100	100
Seq_4127	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Archangium	gephyra	100	100	100	100	100	54	54
Seq_4128	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	NA	NA	NA	100	100	100	94	84	84	84
Seq_4129	Bacteria	Firmicutes	Clostridia	Hungateiclostridiaceae	Ruminiclostridium	NA	NA	100	100	100	97	85	85	85
Seq_4130	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	NA	100	100	100	100	100	100	41
Seq_4131	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Dermacoccaceae	Dermacoccus	NA	100	100	100	100	99	98	79
Seq_4132	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinomycetospora	NA	100	100	100	100	100	96	96
Seq_4133	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA	100	95	95	93	93	93	93
Seq_4134	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA	100	100	100	100	100	100	100
Seq_4135	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	NA	100	100	100	100	100	100	25
Seq_4136	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	NA	NA	100	100	100	95	73	71	71
Seq_4137	Bacteria	Chloroflexi	TK10	NA	NA	NA	NA	100	100	100	100	100	100	100
Seq_4138	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	Rickettsiella	NA	100	100	100	100	100	100	100
Seq_4139	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	NA	NA	100	100	100	99	99	34	18
Seq_4140	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	NA	100	100	100	100	100	100	49
Seq_4141	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Parviterribacter	NA	100	100	100	100	100	100	100
Seq_4142	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Facklamia	hominis	100	100	100	100	100	64	63
Seq_4143	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA	100	100	100	100	100	37	37
Seq_4144	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum	adhaesivum	100	100	100	100	100	100	91
Seq_4145	Bacteria	Myxococcota	Polyangia	mle1-27	NA	NA	NA	100	99	99	92	92	92	92
Seq_4146	Bacteria	Gemmatimonadota	Longimicrobia	Longimicrobiales	Longimicrobiaceae	NA	NA	100	89	87	87	87	87	87
Seq_4147	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	NA	100	100	100	100	93	72	45
Seq_4148	Bacteria	Abditibacteriota	Abditibacteria	Abditibacteriales	Abditibacteriaceae	Abditibacterium	NA	100	100	100	100	100	100	100
Seq_4149	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	NA	100	100	100	99	99	97	19
Seq_4150	Bacteria	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	geothermalis	100	100	100	100	100	100	100
Seq_4151	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Phormidiaceae	Tychonema CCAP 1459-11B	NA	100	100	100	100	100	100	100
Seq_4152	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Dermabacteraceae	Brachybacterium	ginsengisoli	100	100	100	100	100	100	65
Seq_4153	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Coleofasciculaceae	NA	NA	100	100	100	100	100	82	82
Seq_4154	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	NA	100	100	100	100	100	98	9
Seq_4155	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Criibacterium	bergeronii	100	100	100	100	100	100	100
Seq_4156	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Phormidiaceae	NA	NA	100	100	100	100	93	93	93
Seq_4157	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Kocuria	rhizophila	100	100	100	100	100	98	74
Seq_4158	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Desertibacter	roseus	100	100	100	99	99	99	54
Seq_4159	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Coleofasciculaceae	Wilmottia Ant-Ph58	NA	100	100	100	100	100	100	89
Seq_4160	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group	NA	NA	100	100	100	100	100	100	100
Seq_4161	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	NA	NA	100	100	100	100	100	47	42
Seq_4162	Bacteria	NA	NA	NA	NA	NA	NA	99	46	44	21	5	5	5
Seq_4163	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	NA	100	100	100	100	100	100	39
